Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Samples
7,1281,1298,526,542,0.7071565670414038,0.7089097952407305,0.7026878771256171,0.7116228070175439,0.7057851239669423,1.0429298877716064,1.0429298877716064,3647
8,0,1821,3,1823,0.49931450507266245,0.0,0.0,0.9983552631578947,0,1.1766595840454102,1.1766595840454102,3647
9,0,1823,1,1823,0.4998629010145325,0.0,0.0,0.9994517543859649,0,1.5793042182922363,1.5793042182922363,3647
10,0,1823,1,1823,0.4998629010145325,0.0,0.0,0.9994517543859649,0,1.9791321754455566,1.9791321754455566,3647
11,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,2.5169692039489746,2.5169692039489746,3647
12,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,2.3719820976257324,2.3719820976257324,3647
13,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,7.3975830078125,7.3975830078125,3647
14,0,1823,1,1823,0.4998629010145325,0.0,0.0,0.9994517543859649,0,3.097676992416382,3.097676992416382,3647
15,0,1823,1,1823,0.4998629010145325,0.0,0.0,0.9994517543859649,0,4.020537614822388,4.020537614822388,3647
16,1,1823,1,1822,0.5001370989854675,0.5,0.0005485463521667581,0.9994517543859649,0.0010958904109589042,5006.141158342361,5006.141158342361,3647
17,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,5006.8861718177795,5006.8861718177795,3647
18,1,1823,1,1822,0.5001370989854675,0.5,0.0005485463521667581,0.9994517543859649,0.0010958904109589042,1522.7193167209625,1522.7193167209625,3647
19,1,1823,1,1822,0.5001370989854675,0.5,0.0005485463521667581,0.9994517543859649,0.0010958904109589042,208.26567959785461,208.26567959785461,3647
2,154,242,1842,1930,0.09500959692898273,0.07715430861723446,0.07389635316698656,0.11612284069097889,0.07549019607843137,1.3351609706878662,1.3351609706878662,4168
3,1255,1868,216,829,0.7492802303262955,0.8531611148878314,0.6022072936660269,0.8963531669865643,0.7060478199718707,1.3313829898834229,1.3313829898834229,4168
4,230,802,1282,1854,0.2476007677543186,0.15211640211640212,0.11036468330134357,0.3848368522072937,0.12791991101223582,1.332597017288208,1.332597017288208,4168
5,196,804,1280,1888,0.2399232245681382,0.13279132791327913,0.09404990403071017,0.3857965451055662,0.1101123595505618,1.3336973190307617,1.3336973190307617,4168
6,244,678,1406,1840,0.22120921305182342,0.1478787878787879,0.11708253358925144,0.3253358925143954,0.13069094804499198,1.3329598903656006,1.3329598903656006,4168
7,1476,1482,602,608,0.7096928982725528,0.710298363811357,0.708253358925144,0.7111324376199616,0.7092743873137916,1.3321380615234375,1.3321380615234375,4168
8,0,2081,3,2084,0.4992802303262956,0.0,0.0,0.9985604606525912,0,1.514833927154541,1.514833927154541,4168
9,0,2083,1,2084,0.4997600767754319,0.0,0.0,0.9995201535508638,0,2.0678563117980957,2.0678563117980957,4168
10,0,2083,1,2084,0.4997600767754319,0.0,0.0,0.9995201535508638,0,1.8813707828521729,1.8813707828521729,4168
11,1,2084,0,2083,0.5002399232245681,1.0,0.0004798464491362764,1.0,0.0009592326139088729,3.297065019607544,3.297065019607544,4168
12,1,2084,0,2083,0.5002399232245681,1.0,0.0004798464491362764,1.0,0.0009592326139088729,3.1110219955444336,3.1110219955444336,4168
13,1,2084,0,2083,0.5002399232245681,1.0,0.0004798464491362764,1.0,0.0009592326139088729,4.97344708442688,4.97344708442688,4168
14,1,2084,0,2083,0.5002399232245681,1.0,0.0004798464491362764,1.0,0.0009592326139088729,14.126891136169434,14.126891136169434,4168
15,0,2083,1,2084,0.4997600767754319,0.0,0.0,0.9995201535508638,0,47.76150846481323,47.76150846481323,4168
16,1,2083,1,2083,0.5,0.5,0.0004798464491362764,0.9995201535508638,0.0009587727708533078,7624.567550420761,7624.567550420761,4168
17,1,2083,1,2083,0.5,0.5,0.0004798464491362764,0.9995201535508638,0.0009587727708533078,7222.80371427536,7222.80371427536,4168
18,1,2083,1,2083,0.5,0.5,0.0004798464491362764,0.9995201535508638,0.0009587727708533078,7202.249341249466,7202.249341249466,4168
